Guid,ContactId,AccountId,AssetId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsEscalated,Comments,EngineeringReqNumber__c,SLAViolation__c,Product__c,PotentialLiability__c
01c1e63d-df79-4824-868c-c91fda1c3b11,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Other,Phone,Electric surge damaging adjacent equipment,High,#N/A,false,#N/A,265794,No,GC5060,No
06802cb6-bad6-496e-8e3e-bac6496eaa38,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Mechanical,New,Equipment Design,Web,Design issue with mechanical rotor,Low,#N/A,false,#N/A,868314,No,GC3040,No
1122ccf2-30f4-4d99-b14e-9980c74fd085,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Escalated,#N/A,Phone,#N/A,Medium,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A
1424276d-bc86-4ce7-887a-6a5dc8b28859,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,New,Installation,Web,Seeking guidance on electrical wiring installation for GC5060,Low,#N/A,false,#N/A,#N/A,No,GC3060,No
144fa0be-61ae-484d-9fa1-c55bce0aa52e,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Equipment Complexity,Phone,Starting generator after electrical failure,High,#N/A,false,#N/A,765876,No,GC5040,No
17e0df32-a7d4-4770-ae5f-11447b3cf245,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Performance,Phone,Performance inadequate for second consecutive week,High,#N/A,false,#N/A,767145,Yes,GC1060,Yes
254961ed-a6d6-4c4e-b6d7-160184d1a1c9,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Performance,Phone,Electrical circuit malfunctioning,Medium,#N/A,false,#N/A,653780,No,GC1060,Yes
295b552b-1ac0-40d7-9f36-94dc70704808,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electronic,Closed,Equipment Design,Web,Electronic panel fitting loose,Medium,#N/A,false,#N/A,965884,No,GC3020,No
2cdd0214-22e1-46ee-9ee0-d621dfc64795,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Structural,Closed,Equipment Design,Web,Structural failure of generator base,High,#N/A,false,#N/A,636265,No,GC5060,Yes
2dba553b-456f-47a5-ba33-5faabd968c2a,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Equipment Design,Phone,Motor design hindering performance,Medium,#N/A,false,#N/A,572546,No,GC5040,No
33094aff-2296-4509-8ed3-1b062ab53262,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Feedback,Web,Customer service for portable generators needs beefing up,Low,#N/A,false,#N/A,#N/A,No,GC1020,No
3dc3302b-97fe-4322-b653-96974dfed014,,#N/A,,#N/A,#N/A,hello@world.com,#N/A,#N/A,#N/A,New,#N/A,Phone,#N/A,Medium,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A
4beae203-8a2b-4865-95fb-1dec0ccbf4cc,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Mechanical,Closed,Breakdown,Web,Frequent mechanical breakdown,Medium,#N/A,false,#N/A,354982,No,GC3060,Yes
52bdcef0-1f89-49e6-8816-54414fdf8a1f,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Feedback,Phone,Generator assembly instructions unclear,Low,#N/A,false,#N/A,253574,No,GC1020,No
5dca28ca-39f1-4ea4-be24-27b417fea78d,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Equipment Design,Web,Starting up generator consumes excessive power,Medium,#N/A,false,#N/A,654623,No,GC5020,No
5fa0e353-cb15-43a8-a36b-2d1530196282,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,New,Feedback,Web,Maintenance guidelines for generator unclear,Low,#N/A,false,#N/A,651375,No,GC5020,No
66329233-d9fe-4ba5-85ce-f9a3b6648dc8,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Performance,Phone,Power generation below stated level,Medium,#N/A,false,#N/A,237645,No,GC3060,Yes
67e9350a-8fd6-48df-bab2-296bcdd82dac,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Mechanical,Closed,Other,Phone,Mechanical maintenance guidelines for generator misleading,Medium,#N/A,false,#N/A,365782,No,GC3040,Yes
78b42294-b09c-460c-8a3e-3f781bf0037e,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Structural,Closed,Breakdown,Phone,Structural breakdown of rotor assembly,Medium,#N/A,false,#N/A,835735,No,GC1040,No
7fc3c368-a375-4034-85d4-3a1b6b7117b0,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Working,#N/A,Phone,#N/A,Medium,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A
800b8a11-ddd6-4917-af69-c5c99309217e,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electronic,Closed,Performance,Web,Signal panel on GC5060 blinks intermittently,Medium,#N/A,false,#N/A,456345,No,GC5060,No
8110be5b-d5e6-44c8-9675-b82b217e476f,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Installation,Web,Easy installation process,Low,#N/A,false,#N/A,#N/A,No,GC1020,No
89ef1fa5-82bd-4c9f-92a0-dc7a02c12e7b,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Equipment Complexity,Phone,Cannot start generator after electrical failure,Medium,#N/A,false,#N/A,526714,No,GC1040,No
9de97240-ebfa-4537-a562-4ab4c703d192,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Feedback,Web,Maintenance guidelines for generator unclear,Low,#N/A,false,#N/A,658733,No,GC1060,No
9ecd05dc-62a6-4658-8b3c-b77c391fc451,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Structural,Closed,Installation,Phone,Generator GC3060 platform structure is weakening,High,#N/A,false,#N/A,435143,#N/A,GC3060,Yes
a69a23ef-cfe7-4a1d-912c-65f38002c319,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Other,Phone,Maintenance guidelines for generator unclear,Medium,#N/A,false,#N/A,784532,No,GC5020,No
b193acae-9516-4733-9aa2-095a8ed7631e,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Mechanical,Closed,Equipment Complexity,Web,Shutting down of generator,Medium,#N/A,false,#N/A,736734,No,GC1040,No
ba88a16f-32e7-450f-9844-d1ba1377a5c9,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Working,#N/A,Web,#N/A,Low,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A
bc047e6b-f6df-4c9d-a88d-595d13851a05,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Electrical,Closed,Breakdown,Web,Repeated motor breakdown while shutting off,Medium,#N/A,false,#N/A,347209,Yes,GC1020,Yes
caaa7994-0a76-455d-beae-e5832bbb8868,#N/A,ebeb8840-9066-4a16-9052-b697ecb893dd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,Working,#N/A,Phone,#N/A,High,#N/A,false,#N/A,#N/A,#N/A,#N/A,#N/A
cd0ff36a-a118-4c74-bcba-e57dcb60c6cc,,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,Other,Closed,Installation,Phone,Delay in installation; spare parts unavailable,High,#N/A,false,#N/A,#N/A,No,GC3020,Yes
