"Guid","AccountId","Comments","Description","EngineeringReqNumber__c","IsEscalated","Origin","ParentId","PotentialLiability__c","Priority","Product__c","Reason","SLAViolation__c","Status","Subject","SuppliedCompany","SuppliedEmail","SuppliedName","SuppliedPhone","Type"
01c1e63d-df79-4824-868c-c91fda1c3b11,"#N/A","#N/A","#N/A",265794,false,Phone,"#N/A",No,High,GC5060,Other,No,Closed,Electric surge damaging adjacent equipment,"#N/A","#N/A","#N/A","#N/A",Electrical
06802cb6-bad6-496e-8e3e-bac6496eaa38,"#N/A","#N/A","#N/A",868314,false,Web,"#N/A",No,Low,GC3040,Equipment Design,No,New,Design issue with mechanical rotor,"#N/A","#N/A","#N/A","#N/A",Mechanical
1122ccf2-30f4-4d99-b14e-9980c74fd085,"#N/A","#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",Escalated,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1424276d-bc86-4ce7-887a-6a5dc8b28859,"#N/A","#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC3060,Installation,No,New,Seeking guidance on electrical wiring installation for GC5060,"#N/A","#N/A","#N/A","#N/A",Electrical
144fa0be-61ae-484d-9fa1-c55bce0aa52e,"#N/A","#N/A","#N/A",765876,false,Phone,"#N/A",No,High,GC5040,Equipment Complexity,No,Closed,Starting generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
17e0df32-a7d4-4770-ae5f-11447b3cf245,"#N/A","#N/A","#N/A",767145,false,Phone,"#N/A",Yes,High,GC1060,Performance,Yes,Closed,Performance inadequate for second consecutive week,"#N/A","#N/A","#N/A","#N/A",Electrical
254961ed-a6d6-4c4e-b6d7-160184d1a1c9,"#N/A","#N/A","#N/A",653780,false,Phone,"#N/A",Yes,Medium,GC1060,Performance,No,Closed,Electrical circuit malfunctioning,"#N/A","#N/A","#N/A","#N/A",Electrical
295b552b-1ac0-40d7-9f36-94dc70704808,"#N/A","#N/A","#N/A",965884,false,Web,"#N/A",No,Medium,GC3020,Equipment Design,No,Closed,Electronic panel fitting loose,"#N/A","#N/A","#N/A","#N/A",Electronic
2cdd0214-22e1-46ee-9ee0-d621dfc64795,"#N/A","#N/A","#N/A",636265,false,Web,"#N/A",Yes,High,GC5060,Equipment Design,No,Closed,Structural failure of generator base,"#N/A","#N/A","#N/A","#N/A",Structural
2dba553b-456f-47a5-ba33-5faabd968c2a,"#N/A","#N/A","#N/A",572546,false,Phone,"#N/A",No,Medium,GC5040,Equipment Design,No,Closed,Motor design hindering performance,"#N/A","#N/A","#N/A","#N/A",Electrical
33094aff-2296-4509-8ed3-1b062ab53262,"#N/A","#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Feedback,No,Closed,Customer service for portable generators needs beefing up,"#N/A","#N/A","#N/A","#N/A",Other
3dc3302b-97fe-4322-b653-96974dfed014,"#N/A","#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",New,"#N/A","#N/A",hello@world.com,"#N/A","#N/A","#N/A"
4beae203-8a2b-4865-95fb-1dec0ccbf4cc,"#N/A","#N/A","#N/A",354982,false,Web,"#N/A",Yes,Medium,GC3060,Breakdown,No,Closed,Frequent mechanical breakdown,"#N/A","#N/A","#N/A","#N/A",Mechanical
52bdcef0-1f89-49e6-8816-54414fdf8a1f,"#N/A","#N/A","#N/A",253574,false,Phone,"#N/A",No,Low,GC1020,Feedback,No,Closed,Generator assembly instructions unclear,"#N/A","#N/A","#N/A","#N/A",Other
5dca28ca-39f1-4ea4-be24-27b417fea78d,"#N/A","#N/A","#N/A",654623,false,Web,"#N/A",No,Medium,GC5020,Equipment Design,No,Closed,Starting up generator consumes excessive power,"#N/A","#N/A","#N/A","#N/A",Other
5fa0e353-cb15-43a8-a36b-2d1530196282,"#N/A","#N/A","#N/A",651375,false,Web,"#N/A",No,Low,GC5020,Feedback,No,New,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
66329233-d9fe-4ba5-85ce-f9a3b6648dc8,"#N/A","#N/A","#N/A",237645,false,Phone,"#N/A",Yes,Medium,GC3060,Performance,No,Closed,Power generation below stated level,"#N/A","#N/A","#N/A","#N/A",Electrical
67e9350a-8fd6-48df-bab2-296bcdd82dac,"#N/A","#N/A","#N/A",365782,false,Phone,"#N/A",Yes,Medium,GC3040,Other,No,Closed,Mechanical maintenance guidelines for generator misleading,"#N/A","#N/A","#N/A","#N/A",Mechanical
78b42294-b09c-460c-8a3e-3f781bf0037e,"#N/A","#N/A","#N/A",835735,false,Phone,"#N/A",No,Medium,GC1040,Breakdown,No,Closed,Structural breakdown of rotor assembly,"#N/A","#N/A","#N/A","#N/A",Structural
7fc3c368-a375-4034-85d4-3a1b6b7117b0,"#N/A","#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",Medium,"#N/A","#N/A","#N/A",Working,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
800b8a11-ddd6-4917-af69-c5c99309217e,"#N/A","#N/A","#N/A",456345,false,Web,"#N/A",No,Medium,GC5060,Performance,No,Closed,Signal panel on GC5060 blinks intermittently,"#N/A","#N/A","#N/A","#N/A",Electronic
8110be5b-d5e6-44c8-9675-b82b217e476f,"#N/A","#N/A","#N/A","#N/A",false,Web,"#N/A",No,Low,GC1020,Installation,No,Closed,Easy installation process,"#N/A","#N/A","#N/A","#N/A",Other
89ef1fa5-82bd-4c9f-92a0-dc7a02c12e7b,"#N/A","#N/A","#N/A",526714,false,Phone,"#N/A",No,Medium,GC1040,Equipment Complexity,No,Closed,Cannot start generator after electrical failure,"#N/A","#N/A","#N/A","#N/A",Electrical
9de97240-ebfa-4537-a562-4ab4c703d192,"#N/A","#N/A","#N/A",658733,false,Web,"#N/A",No,Low,GC1060,Feedback,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
9ecd05dc-62a6-4658-8b3c-b77c391fc451,"#N/A","#N/A","#N/A",435143,false,Phone,"#N/A",Yes,High,GC3060,Installation,"#N/A",Closed,Generator GC3060 platform structure is weakening,"#N/A","#N/A","#N/A","#N/A",Structural
a69a23ef-cfe7-4a1d-912c-65f38002c319,"#N/A","#N/A","#N/A",784532,false,Phone,"#N/A",No,Medium,GC5020,Other,No,Closed,Maintenance guidelines for generator unclear,"#N/A","#N/A","#N/A","#N/A",Other
b193acae-9516-4733-9aa2-095a8ed7631e,"#N/A","#N/A","#N/A",736734,false,Web,"#N/A",No,Medium,GC1040,Equipment Complexity,No,Closed,Shutting down of generator,"#N/A","#N/A","#N/A","#N/A",Mechanical
ba88a16f-32e7-450f-9844-d1ba1377a5c9,"#N/A","#N/A","#N/A","#N/A",false,Web,"#N/A","#N/A",Low,"#N/A","#N/A","#N/A",Working,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
bc047e6b-f6df-4c9d-a88d-595d13851a05,"#N/A","#N/A","#N/A",347209,false,Web,"#N/A",Yes,Medium,GC1020,Breakdown,Yes,Closed,Repeated motor breakdown while shutting off,"#N/A","#N/A","#N/A","#N/A",Electrical
caaa7994-0a76-455d-beae-e5832bbb8868,"#N/A","#N/A","#N/A","#N/A",false,Phone,"#N/A","#N/A",High,"#N/A","#N/A","#N/A",Working,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
cd0ff36a-a118-4c74-bcba-e57dcb60c6cc,"#N/A","#N/A","#N/A","#N/A",false,Phone,"#N/A",Yes,High,GC3020,Installation,No,Closed,Delay in installation; spare parts unavailable,"#N/A","#N/A","#N/A","#N/A",Other
